Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Platform Additional Memory Scope 3 Emissions,Platform Additional Storage Scope 3 Emissions,Platform Additional GPU Scope 3 Emissions,Platform Additional CPU Scope 3 Emissions,Total Platform Scope 3 Emissions  (kgCO₂eq),Instance Hourly Manufacturing Emissions (gCO₂eq),Hardware Information on AWS Documentation & Comments
c3d-standard-4,,4,360,EPYC 9B14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-8,,8,360,EPYC 9B14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-16,,16,360,EPYC 9B14,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-30,,30,360,EPYC 9B14,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-60,,60,360,EPYC 9B14,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-90,,90,360,EPYC 9B14,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-180,,180,360,EPYC 9B14,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-standard-360,,360,360,EPYC 9B14,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-4,,4,360,EPYC 9B14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-8,,8,360,EPYC 9B14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-16,,16,360,EPYC 9B14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-30,,30,360,EPYC 9B14,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-60,,60,360,EPYC 9B14,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-90,,90,360,EPYC 9B14,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-180,,180,360,EPYC 9B14,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highcpu-360,,360,360,EPYC 9B14,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-4,,4,360,EPYC 9B14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-8,,8,360,EPYC 9B14,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-16,,16,360,EPYC 9B14,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-30,,30,360,EPYC 9B14,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-60,,60,360,EPYC 9B14,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-90,,90,360,EPYC 9B14,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-180,,180,360,EPYC 9B14,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3d-highmem-360,,360,360,EPYC 9B14,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-standard-4,,4,176,Xeon Platinum 8481C,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-standard-8,,8,176,Xeon Platinum 8481C,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-standard-22,,22,176,Xeon Platinum 8481C,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-standard-44,,44,176,Xeon Platinum 8481C,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-standard-88,,88,176,Xeon Platinum 8481C,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-standard-176,,176,176,Xeon Platinum 8481C,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highcpu-4,,4,176,Xeon Platinum 8481C,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highcpu-8,,8,176,Xeon Platinum 8481C,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highcpu-22,,22,176,Xeon Platinum 8481C,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3-highcpu-44,,44,176,Xeon Platinum 8481C,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
